rowid,variable,value,x,y
slc46a1,s4d.mecpM1,-0.6855827528577014,16,1610
hps1,s4d.mecpM1,0.45465440544891234,16,388
fanci,s4d.mecpM1,-0.026776111508402978,16,1876
dbi,s4d.mecpM1,1.0195356398414548,16,950
anxa5a,s4d.mecpM1,-0.16091959382975268,16,162
socs3b,s4d.mecpM1,-0.08786048788480133,16,976
gmds,s4d.mecpM1,0.8479634501821385,16,193
tspo,s4d.mecpM1,0.12544006749635367,16,2098
tlr19,s4d.mecpM1,-0.4367670051592562,16,456
rom1b,s4d.mecpM1,0.49980548355219007,16,1698
ptgdsb.1,s4d.mecpM1,-0.022045558088067223,16,1213
